property_id,type,property_size,property_area,area_sqyd,price,purpose,built_in_year,parking_spaces,floors,bedrooms,bathrooms,servant_quarters,kitchens,store_rooms,state,city,area,tier,population,median_monthly_income
51667617-3048-1,House,Medium (250-500),10 Marla,302.5,34000000,For Sale,2025-01-01,2,2,5,5,,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52520718-3049-1,House,Large (500-1000),1 Kanal,605,69500000,For Sale,2024-01-01,2,,5,5,1,3,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51614310-14739-1,House,Medium (250-500),10 Marla,302.5,27000000,For Sale,2024-01-01,,,5,5,,2,,Punjab,Rawalpindi,Gulshan Abad,1,6120000,85000
49532034-1058-1,House,Medium (250-500),10 Marla,302.5,34000000,For Sale,2024-01-01,,3,6,6,1,3,1,Punjab,Rawalpindi,Gulshan Abad,1,6120000,85000
50444982-11748-1,House,Small (100-250),4 Marla,121,9500000,For Sale,2024-01-01,1,2,2,3,,1,,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
50965043-11748-1,House,Medium (250-500),8.4 Marla,254.1,22500000,For Sale,2023-01-01,3,2,5,5,1,2,1,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
51875976-11748-1,House,Small (100-250),8 Marla,242,26000000,For Sale,2024-01-01,,,5,6,,,,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
52275480-11748-1,House,Small (100-250),6 Marla,181.5,14500000,For Sale,2025-01-01,,,4,4,1,2,2,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
52568618-11748-1,House,Small (100-250),5 Marla,151.25,12000000,For Sale,2025-01-01,3,,3,3,,2,1,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
52711891-3047-1,House,Medium (250-500),10 Marla,302.5,45000000,For Sale,2024-01-01,,,5,6,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52711895-3047-1,House,Medium (250-500),10 Marla,302.5,42000000,For Sale,2024-01-01,,,5,6,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52711896-3047-1,House,Medium (250-500),12 Marla,363,46000000,For Sale,2024-01-01,,,5,6,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52711914-3047-1,House,Medium (250-500),10 Marla,302.5,48000000,For Sale,2024-01-01,,,5,6,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52542948-3057-1,House,Medium (250-500),10 Marla,302.5,35000000,For Sale,2024-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51933343-6020-1,House,Tiny (<100),3 Marla,90.75,3800000,For Sale,2017-01-01,1,2,3,2,1,1,1,Punjab,Rawalpindi,Gulshan-e-Iqbal,1,6120000,85000
52680579-3048-1,House,Small (100-250),5 Marla,151.25,18500000,For Sale,2024-01-01,,,3,3,,1,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52679031-3074-1,House,Small (100-250),5 Marla,151.25,18000000,For Sale,2024-01-01,,,3,4,,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52622312-14739-1,House,Medium (250-500),10 Marla,302.5,27500000,For Sale,2025-01-01,4,,5,6,,1,,Punjab,Rawalpindi,Gulshan Abad,1,6120000,85000
52297715-3048-1,House,Small (100-250),5 Marla,151.25,19000000,For Sale,2025-01-01,2,2,3,4,,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52647085-3056-1,House,Medium (250-500),10 Marla,302.5,39000000,For Sale,2024-01-01,2,,5,5,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52172260-3036-1,House,Medium (250-500),10 Marla,302.5,48500000,For Sale,2017-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51831599-3071-1,House,Small (100-250),5 Marla,151.25,24500000,For Sale,2024-01-01,,,3,4,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52706924-517-1,House,Small (100-250),3.5 Marla,105.875,13000000,For Sale,2025-01-01,1,2,4,2,1,2,1,Punjab,Rawalpindi,Peshawar Road,1,6120000,85000
51981183-3095-1,House,Medium (250-500),10 Marla,302.5,32000000,For Sale,2020-01-01,2,,6,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
48815949-3073-1,House,Medium (250-500),10.9 Marla,329.725,38300000,For Sale,2022-01-01,,3,9,6,,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
